entidade,setor,processo,ano_instrucao,status,motivo_resumido,artigo_lgpd_citado,tipo_sancao,fonte_url,teve_multa_pecuniaria
Ministerio da Saude,Publico,00261.000456/2022-12,2024,Processo encerrado,Nao atendimento a requisicao da ANPD; ausencia de encarregado de dados; ausencia de comunicacao de incidente de seguranca,Art. 41 e Art. 48,Advertencia/Publicizacao,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
Ministerio da Saude,Publico,00261.001882/2022-73,2024,Recurso em analise pelo Conselho Diretor,A verificar (extracao do relatorio completo),A verificar,A verificar,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
Secretaria de Assistencia Social - PE (ex-SDSCJPVD),Publico,00261.001963/2022-73,2024,Processo encerrado (recurso decidido),A verificar (extracao do relatorio completo),A verificar,Advertencia (inferido do status),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
Secretaria de Estado de Educacao do DF (SEEDF),Publico,00261.001192/2022-14,2024,Processo encerrado (recurso decidido),A verificar (extracao do relatorio completo),A verificar,Advertencia (inferido do status),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
Instituto Nacional do Seguro Social (INSS),Publico,00261.001888/2023-21,2024,Processo encerrado (recurso decidido),A verificar (extracao do relatorio completo),A verificar,Advertencia (inferido do status),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
Secretaria de Estado da Saude de Santa Catarina,Publico,00261.001886/2022-51,2023,Processo encerrado,A verificar (extracao do relatorio completo),A verificar,Advertencia (inferido do status),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
Instituto de Pesquisas Jardim Botanico do RJ (JBRJ),Publico,00261.000574/2022-21,2023,Processo encerrado,A verificar (extracao do relatorio completo),A verificar,Advertencia (inferido do status),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
IAMSPE - SP,Publico,00261.001969/2022-41,2023,Processo encerrado,A verificar (extracao do relatorio completo),A verificar,Advertencia (inferido do status),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
Telekall Inforservice,Privado,00261.000489/2022-62,2023,Processo encerrado,Ausencia de comprovacao de hipotese legal que autorizasse o tratamento (telemarketing),A verificar (provavelmente Art. 7),Multa pecuniaria (R$ 14.400),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,True
Bytedance Brasil Tecnologia Ltda,Privado,00261.006648/2024-02,2026,Processo em andamento,Fiscalizacao em curso (objeto sob instrucao - nao divulgado publicamente ate a conclusao),A verificar,Em andamento,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/decisoes-em-processos-sancionadores,False
